text,label
anies president info,positif
gerindra party politician sandiaga uno answers the question of being paired again with former dki jakarta governor anies baswedan in the upcoming presidential election,positif
"mr. anies continued, we will guard him until he becomes president",positif
"may allah swt save the nation and state of the republic of indonesia from traitors to the mandate of the people, o allah, the most merciful and the most merciful, raise the rank of anies rasyid baswedan to become president of the republic of indonesia this year and beyond, amen, yra",positif
"poor chotimah, uncle anies, that's why my family has decided to elect pa anies as president",positif
pdip cadres become president where the minister is food imports,negatif
if there is no declaration from the supporting party then the results of this survey are useless,positif
the voice of the people,positif
amien rais will vote for prabowo subianto if anies baswedan fails to become a presidential candidate in the presidential election,negatif
who was the governor?,positif
kpk moves for justice for all indonesian people,negatif
anies prabowo,positif
can become governor because there is a party that supports him,negatif
think about why you lost,negatif
the official from your political party criticizes his party,negatif
not surprised,positif
carry on,positif
"yes, we who are pro anies will always be outside the palace",positif
smart herianto anies is very suitable for the president of the republic of indonesia,positif
"you are so busy managing our presidential candidate, anies baswed, and the track record of anies that you posted does not reflect anies' actual achievements. the people are intelligent enough to judge that anies will be president of the republic of indonesia.",positif
"id, god willing, bang anies will become president",positif
great,positif
"isn't that the conspiracy of the embittered cebong troops who are very upset about the pks promoting anies as presidential candidate, anies, the extinct cebong president",positif
anies president watch video of asad mahrizal,positif
the democratic party stated that gerindra sandiaga uno party cadres did not meet the criteria for a vice presidential candidate and vice presidential candidate to accompany anies baswedan in the presidential election.,positif
yooo join the national volunteer ranks of the anies united bnkab coalition for the movement for change anies for president call chat,positif
please join and become a volunteer for anies for president place call,positif
"god willing, mr. anies baswedan will become president of the republic of indonesia, just pray so that you will be unemployed buzzerrp, getting a job is not as cool as it is now poor thing",positif
"i hope anies baswedan becomes the president of the republic of indonesia so that the sumber sane hospital case can be completed, the construction of kakaban quickly ends.",positif
let's fight for anies baswedan to become president of the republic of indonesia,positif
"nothing else, if it's not fake, it means you're a traitor. don't forget to drink coffee before imsak",positif
fahnoor inismyname bowo traitor,negatif
rational people will not repeat the same mistakes together,negatif
"rg with the discourse of a large coalition consisting of five political parties supporting the palace, anies looks like he is being attacked by anies' party, which is not a member of anies' party, well, why are you afraid?",negatif
the explanation by several key witnesses supporting ab should be used as a benchmark to improve the results of the anies survey for the change in president anies,positif
i hope anies becomes president of the republic of indonesia aamiinaamiinaamiin,positif
why are you afraid of anies baswedan and the president of the republic of indonesia?,positif
pak anies baswedan as president is sure of that,positif
"achmadi, let's support anies baswedan and the president of the republic of indonesia",positif
whatever the title of the song remains,positif
the viral wave of popular support for anies baswedan abw as a presidential candidate in the general election continues to increase,positif
three parties from the coalition of change that supports anies baswedan are targeting the former governor of dki jakarta's vote during the presidential election to reach a percentage in ta,negatif
id let's support anies baswedan and the president of the republic of indonesia,positif
"this is really asking, is it true that the acting governor has been replaced by his name, mr. heru, who has only been in office for a year, mr. heru, because it's funny to fill the vacancy instead of using someone who has been chosen by the people, instead someone who got a free presidential pass.",negatif
chotimah ganjar pranowo wins but anies baswedan remains president of indonesia for the term,negatif
"god willing, mr. anies, president of the republic of indonesia and all religions in this country will rise and be in harmony within the framework of the republic of indonesia",positif
"anies withdrew from being a presidential candidate, leaving it entirely up to the kpu who would become president",negatif
,negatif
"because of this post, i am even more convinced that this accusation has no effect on mr. anies, who is indeed fit to be president",positif
"why gen prefers the republic of indonesia's president? listen to the rational, objective explanation for indonesia's future changes",positif
saligia chotimah next president anies rasyid baswedan aamiin,positif
"advocates are ready to fight, ready to defend anies rasyid baswedan, the president of the republic of indonesia, statement of the position of the volunteer advocate team",positif
"just be afraid of you, anies president",positif
"simple question, if it was a tragedy from the start, why are you running for president and if you can become defense minister again when anies becomes president, how can you convey it to your father and can you use your campaign funds for support in the next regime?",negatif
"let's see who the president is, ruhut mao will jump, where else will anies, the president in the field, have won, just the admin doesn't let his guard down, his voice will be distorted, especially if the cardboard in the gembox is very vulnerable.",positif
anies baswedan president wind of change for indonesia,positif
"gaspooll, yes, it's anies' turn to be president",positif
"indonesia needs anies baswedan as president, amen, lord",positif
if anies president's game is fair,positif
anies rb president ri,positif
fathur tangled with optimism must fight to realize the important thing about anies presiden ri,positif
"hope that mr. anies baswedan will have more and more people who support him and pray for him and the president of the republic of indonesia, so that they can burn down their evil plans, throw away people who are full of hallucinations, and leave the stress alone to those who can't work.",positif
"tni wants to ask for help from banser or whatever, the people will guard anies so that there is a restoration of a just, prosperous indonesia, a new indonesia, justice is upheld, the people will be prosperous, guard for the president no other no other",positif
makar allah swt is better and valid in sha allah mr anies baswedan the next president of the republic of indonesia aamiinx yra,positif
"previously, the chairman of the shura council of the ummah party, amien rais, stated that he agreed to support prabowo subianto to run as a presidential candidate if anies baswedan failed to run or did not get a presidential ticket.",positif
"who nominated anies baswedan as presidential candidate in the presidential election, prabowo subianto",positif
"i hope that if anies becomes president, this person will be removed from his position",positif
