id,teks,label,tokoh
1,0,netral,Anies Baswedan
2,1,netral,Anies Baswedan
3,2,netral,Anies Baswedan
4,3,netral,Anies Baswedan
5,4,netral,Anies Baswedan
6,5,netral,Anies Baswedan
7,6,netral,Anies Baswedan
8,7,netral,Anies Baswedan
9,8,netral,Anies Baswedan
10,9,netral,Anies Baswedan
11,10,netral,Anies Baswedan
12,11,netral,Anies Baswedan
13,12,netral,Anies Baswedan
14,13,netral,Anies Baswedan
15,14,netral,Anies Baswedan
16,15,netral,Anies Baswedan
17,16,netral,Anies Baswedan
18,17,netral,Anies Baswedan
19,18,netral,Anies Baswedan
20,19,netral,Anies Baswedan
21,20,netral,Anies Baswedan
22,21,netral,Anies Baswedan
23,22,netral,Anies Baswedan
24,23,netral,Anies Baswedan
25,24,netral,Anies Baswedan
26,25,netral,Anies Baswedan
27,26,netral,Anies Baswedan
28,27,netral,Anies Baswedan
29,28,netral,Anies Baswedan
30,29,netral,Anies Baswedan
31,30,netral,Anies Baswedan
32,31,netral,Anies Baswedan
33,32,netral,Anies Baswedan
34,33,netral,Anies Baswedan
35,34,netral,Anies Baswedan
36,35,netral,Anies Baswedan
37,36,netral,Anies Baswedan
38,37,netral,Anies Baswedan
39,38,netral,Anies Baswedan
40,39,netral,Anies Baswedan
41,40,netral,Anies Baswedan
42,41,netral,Anies Baswedan
43,42,netral,Anies Baswedan
44,43,netral,Anies Baswedan
45,44,netral,Anies Baswedan
46,45,netral,Anies Baswedan
47,46,netral,Anies Baswedan
48,47,netral,Anies Baswedan
49,48,netral,Anies Baswedan
50,49,netral,Anies Baswedan
51,50,netral,Anies Baswedan
52,51,netral,Anies Baswedan
53,52,netral,Anies Baswedan
54,53,netral,Anies Baswedan
55,54,netral,Anies Baswedan
56,55,netral,Anies Baswedan
57,56,netral,Anies Baswedan
58,57,netral,Anies Baswedan
59,58,netral,Anies Baswedan
60,59,netral,Anies Baswedan
61,60,netral,Anies Baswedan
62,61,netral,Anies Baswedan
63,62,netral,Anies Baswedan
64,63,netral,Anies Baswedan
65,64,netral,Anies Baswedan
66,65,netral,Anies Baswedan
67,66,netral,Anies Baswedan
68,67,netral,Anies Baswedan
69,68,netral,Anies Baswedan
70,70,netral,Anies Baswedan
71,71,netral,Anies Baswedan
72,72,netral,Anies Baswedan
73,73,netral,Anies Baswedan
74,74,netral,Anies Baswedan
75,75,netral,Anies Baswedan
76,76,netral,Anies Baswedan
77,77,netral,Anies Baswedan
78,78,netral,Anies Baswedan
79,79,netral,Anies Baswedan
80,80,netral,Anies Baswedan
81,81,netral,Anies Baswedan
82,83,netral,Anies Baswedan
83,85,netral,Anies Baswedan
84,86,netral,Anies Baswedan
85,87,netral,Anies Baswedan
86,88,netral,Anies Baswedan
87,89,netral,Anies Baswedan
88,90,netral,Anies Baswedan
89,92,netral,Anies Baswedan
90,93,netral,Anies Baswedan
91,94,netral,Anies Baswedan
92,95,netral,Anies Baswedan
93,96,netral,Anies Baswedan
94,97,netral,Anies Baswedan
95,98,netral,Anies Baswedan
96,99,netral,Anies Baswedan
97,100,netral,Anies Baswedan
98,101,netral,Anies Baswedan
99,102,netral,Anies Baswedan
100,103,netral,Anies Baswedan
101,104,netral,Anies Baswedan
102,105,netral,Anies Baswedan
103,106,netral,Anies Baswedan
104,107,netral,Anies Baswedan
105,108,netral,Anies Baswedan
106,109,netral,Anies Baswedan
107,110,netral,Anies Baswedan
108,111,netral,Anies Baswedan
109,113,netral,Anies Baswedan
110,114,netral,Anies Baswedan
111,115,netral,Anies Baswedan
112,116,netral,Anies Baswedan
113,117,netral,Anies Baswedan
114,118,netral,Anies Baswedan
115,119,netral,Anies Baswedan
116,122,netral,Anies Baswedan
117,124,netral,Anies Baswedan
118,125,netral,Anies Baswedan
119,128,netral,Anies Baswedan
120,129,netral,Anies Baswedan
121,130,netral,Anies Baswedan
